                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6323,                 1.5437,                 1.0864,                0.81574,                0.38317,                0.45997,                0.22616,                 1.5601,                  1.398,                 1.0848,             0.00036739,             0.00036739,             0.00036739
                      2,                 1.5897,                 1.1502,                 1.0826,                0.82201,                0.38821,                0.45715,                0.25201,                 1.5603,                 1.1424,                 1.0706,             0.00072312,             0.00072312,             0.00072312
                      3,                 1.5895,                 1.1514,                 1.0768,                 0.8318,                0.32573,                0.36925,                0.19984,                 1.5899,                 1.3586,                 1.0956,              0.0010642,              0.0010642,              0.0010642
                      4,                 1.5321,                 1.0713,                 1.0534,                0.60026,                0.31489,                0.36783,                0.19208,                 1.6113,                   1.45,                 1.0965,               0.001045,               0.001045,               0.001045
                      5,                 1.5269,                 1.0201,                 1.0491,                0.65637,                0.42168,                0.51026,                0.29382,                 1.4698,                 1.0445,                 1.0396,               0.001045,               0.001045,               0.001045
                      6,                 1.4645,                 0.9602,                 1.0391,                0.60973,                0.47061,                0.47817,                 0.2669,                  1.442,                 1.0342,                 1.0306,               0.001023,               0.001023,               0.001023
                      7,                 1.4594,                0.93079,                 1.0334,                0.76976,                0.44914,                0.56538,                0.31404,                 1.4769,                0.94479,                 1.0497,               0.001001,               0.001001,               0.001001
                      8,                 1.4407,                0.89454,                 1.0236,                0.83133,                0.50903,                 0.6294,                0.35028,                 1.3741,                0.83645,                 1.0124,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.4213,                0.88766,                 1.0133,                0.70222,                0.51864,                0.59001,                0.34164,                 1.3293,                0.82564,                0.99342,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.3726,                0.85197,                 1.0038,                0.76985,                0.58881,                0.62799,                0.34162,                  1.356,                0.85006,                 1.0003,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.3791,                 0.8342,                 1.0003,                0.74562,                0.55819,                0.63788,                0.37449,                 1.3293,                0.77486,                0.98561,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.3447,                0.79174,                0.99356,                0.73683,                0.56431,                 0.6149,                0.33968,                 1.3203,                  0.769,                0.98858,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.3109,                 0.7691,                0.98487,                0.70038,                0.57641,                0.63563,                0.38956,                 1.3051,                0.75476,                0.98261,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.3193,                0.77098,                0.97841,                0.82298,                0.60066,                0.67637,                0.39734,                 1.2844,                0.70957,                0.97849,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.2778,                0.72709,                0.97472,                0.56697,                0.59374,                0.59932,                0.34902,                 1.3113,                0.78229,                0.98579,             0.00082503,             0.00082503,             0.00082503
                     16,                  1.289,                0.72707,                0.97101,                0.78279,                0.60452,                0.66745,                0.40516,                 1.2792,                0.71064,                0.98036,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.2671,                0.71999,                0.96924,                0.78445,                0.63016,                0.69631,                0.40945,                 1.2808,                0.72259,                0.97815,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.2624,                0.70976,                0.96516,                0.81145,                0.65179,                0.69917,                0.42738,                 1.2674,                0.67855,                0.97113,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.2736,                0.70495,                0.96899,                0.70754,                0.68674,                0.69209,                0.42422,                  1.275,                0.67767,                0.97012,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.2569,                 0.6969,                0.95678,                 0.7427,                0.64613,                 0.7074,                0.45168,                 1.2454,                0.66697,                0.96578,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.2451,                0.67692,                0.95601,                0.80087,                0.58139,                 0.6607,                0.39744,                 1.2554,                0.71932,                0.96487,             0.00069304,             0.00069304,             0.00069304
                     22,                  1.219,                0.65818,                0.94928,                0.69698,                0.66553,                0.69486,                0.41466,                 1.2568,                0.68316,                0.96343,             0.00067104,             0.00067104,             0.00067104
                     23,                 1.2054,                0.65038,                 0.9497,                  0.828,                0.65561,                0.73296,                0.46374,                 1.2266,                0.64136,                0.95571,             0.00064905,             0.00064905,             0.00064905
                     24,                 1.2092,                0.65532,                0.95677,                 0.7865,                0.64425,                0.72017,                0.45565,                 1.2197,                0.65167,                0.95614,             0.00062705,             0.00062705,             0.00062705
                     25,                  1.207,                0.64416,                0.94409,                0.67922,                0.66954,                0.67341,                0.42649,                 1.2328,                 0.6696,                0.95962,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.1762,                  0.631,                0.94007,                0.83814,                0.65457,                0.72042,                0.46563,                 1.2124,                0.61739,                0.95079,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.1817,                0.62733,                0.93835,                0.80159,                0.65791,                0.71877,                   0.45,                 1.2275,                0.66954,                0.95756,             0.00056105,             0.00056105,             0.00056105
                     28,                  1.175,                0.62111,                0.93831,                0.72584,                0.73516,                0.74648,                0.46316,                 1.2312,                0.63769,                0.95342,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.1627,                0.61392,                0.93029,                0.76028,                0.67042,                0.74542,                0.46563,                 1.2187,                0.62697,                0.95574,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.1591,                0.60851,                0.93125,                0.76842,                0.64361,                0.68706,                0.42261,                  1.244,                0.65877,                0.96027,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.1422,                0.59208,                0.92852,                0.79058,                0.70235,                0.75192,                0.46851,                 1.2052,                0.61572,                 0.9509,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.1401,                0.59556,                0.93253,                0.78875,                  0.678,                 0.7227,                0.45727,                 1.2171,                0.62491,                0.95083,             0.00045107,             0.00045107,             0.00045107
                     33,                   1.13,                0.58474,                0.92817,                 0.8216,                  0.668,                0.76467,                0.48757,                 1.2099,                 0.6021,                0.94544,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.1192,                0.57283,                0.92077,                0.80953,                0.69277,                0.74758,                0.48346,                 1.1752,                0.58601,                0.93757,             0.00040707,             0.00040707,             0.00040707
                     35,                  1.113,                 0.5614,                0.92066,                0.80224,                0.76856,                0.78631,                0.50844,                 1.1942,                0.57473,                 0.9446,             0.00038507,             0.00038507,             0.00038507
                     36,                 1.0846,                0.55768,                0.91706,                0.75909,                0.73227,                0.77057,                0.49544,                 1.1903,                0.58124,                0.94452,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.0893,                0.55101,                0.91593,                0.81005,                0.68762,                0.76285,                0.48138,                 1.1843,                0.58138,                0.93631,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.0823,                0.54328,                0.91075,                 0.8299,                0.68601,                0.73363,                0.47978,                 1.1829,                0.57503,                0.94189,             0.00031908,             0.00031908,             0.00031908
                     39,                 1.0611,                0.53748,                 0.9073,                0.76708,                 0.7105,                0.77145,                0.50089,                 1.1814,                0.57277,                0.93982,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.0528,                0.52331,                 0.9065,                0.81735,                 0.7415,                0.81135,                0.52469,                 1.1666,                0.55304,                0.93544,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.0785,                0.52508,                 0.9154,                0.80608,                 0.7056,                0.77642,                0.50217,                 1.1815,                0.56844,                0.93953,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.0588,                0.50792,                0.90955,                0.77314,                0.71067,                0.77019,                0.49588,                 1.1637,                 0.5586,                0.93549,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.0393,                0.50015,                0.90441,                 0.8027,                0.73027,                0.78745,                0.50938,                  1.167,                0.55611,                0.93457,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.0378,                0.49552,                0.90273,                0.79281,                0.75624,                0.78351,                0.51438,                 1.1634,                0.55308,                0.93662,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.0304,                 0.4858,                0.90203,                0.82898,                0.71383,                0.77101,                0.50885,                 1.1599,                0.55633,                0.93188,             0.00016509,             0.00016509,             0.00016509
                     46,                 1.0108,                0.47709,                0.89558,                  0.823,                0.71537,                0.78098,                0.51382,                 1.1506,                0.54499,                0.92968,              0.0001431,              0.0001431,              0.0001431
                     47,                 1.0228,                0.48285,                0.89719,                0.81681,                0.71463,                0.77418,                0.51166,                 1.1506,                0.54383,                0.93073,              0.0001211,              0.0001211,              0.0001211
                     48,                0.99338,                0.46947,                0.89911,                0.78172,                0.70083,                0.76499,                0.50813,                 1.1534,                0.54169,                0.92972,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.99308,                0.46678,                0.89285,                0.79495,                0.71697,                0.77106,                0.50738,                 1.1551,                0.53528,                0.93156,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.98403,                0.46269,                0.88622,                0.79662,                0.72099,                0.77304,                0.50883,                 1.1559,                0.53534,                0.93223,             5.5106e-05,             5.5106e-05,             5.5106e-05
